id,audience,content,during,hours,price,purpose,title,today
0, 適合對象 1.資訊技術 (IT) 與信息安全 (IS) 相關經理人 2.風險管理相關經理人 3.公司治理、政策制定經理人 4.欲從事ISO 27001諮詢、顧問之人員 5.內部稽核員、電腦稽核員  ,1.資訊安全管理系統要求 (ISO/IEC 27001) 2.資訊安全管理系統要求 (ISO/IEC 27001)、管理系統稽核指引(ISO 19011)、驗證稽核要求 (ISO 17021) 3.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核準備與計畫  4.管理系統稽核指引 (ISO 19011)-稽核過程演練-稽核起始會議、執行現場稽核活動、稽核員角色與稽核技巧演練 5.管理系統稽核指引(ISO 19011)-稽核過程演練-稽核結束會議、稽核發現追蹤與認證 ,"['2020/07/13 ~ 2020/07/17 每週一二三四五', '2020/07/18 ~ 2020/07/26 每週五六日', '2020/08/10 ~ 2020/08/14 每週一二三四五']",時數：40小時,"費用：NT$ 50,000",此課程為「行政院國家資通安全會報」認可之資通安全專業證照 資訊(Information)可說是現今最為重要的無形資產，也是企業成功的基礎與命脈。如何確保客戶與公司內部資訊的安全性、完整性及可用性，是當今最重要的課題之一。資訊安全管理系統(Information Security Management Systems，ISMS)正是因應維護資訊安全而發展出來的重要標準。 本課程結合課堂簡報、小組討論、經驗交流、角色扮演、情境演練等，透過參與式 (participated learning) 學習，培養學員下列的能力： 1.了解資訊安全管理系統的目的、對組織帶來的益處、管理系統與相關標準、管理系統內部稽核、供應商稽核與第三方認證等要求。 2.了解管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 中，稽核員的角色與能力的要求，包含稽核計畫、執行、報告、發現追蹤到完成稽核。 3.如何應用管理系統稽核指引 ISO 19011 (與認證規範  ISO 17021) 要求，進行資訊安全管理系統稽核 (包含稽核計畫、執行、報告、發現追蹤到完成稽核)，以確保組織的資訊安全管理系統的有效性，並符合國際標準 ISO 27001 (或 ISO 27002)要求。 ,ISO 27001：2013資訊安全管理系統主導稽核員訓練課程,20200712
1, 適合對象  跨領域學習工作者 對網路安全技術有興趣者 初階系統/網路工程師   , Explain the OSI and TCP/IP Models (解釋OSI和TCP/IP模型) Explain properties of network traffic (解釋網路流量的性質) Install and configure switched networks (安裝和配置交換網路) Configure IP networks (配置IP網路) Install and configure routed networks (安裝和配置路由網路) Configure and monitor ports and protocols(配置和監視端口和協議) Explain network application and storage issues (說明網路應用和儲存問題) Monitor and troubleshoot networks (監控網路並排除故障) Explain network attacks and mitigations (說明網路攻擊和緩解措施) Install and configure security devices (安裝和配置安全設備) Explain authentication and access controls (說明身份驗證和訪問控制) Deploy and troubleshoot cabling solutions (部署和故障排除佈線解決方案) Implement and troubleshoot wireless technologies (實施和故障排除無線網路技術) Compare and contrast WAN technologies (比較和對比廣域網路技術) Use remote access methods(使用遠端存取方法) Identify site policies and best practices(識別政策和最佳做法)  ,"['2020/07/27 ~ 2020/07/31 每週一二三四五', '2020/08/15 ~ 2020/08/29 每週六日', '2020/09/21 ~ 2020/09/25 每週一二三四五']",時數：40小時,"費用：NT$ 45,000",資訊與通信科技（Information and Communication Technology，簡稱ICT）日新月異，基於網際網路的新運算方式，無遠弗屆的網際網路，CompTIA Network + 認證課程是國際公認的基礎級計算機網路技能認證，提供您在安裝，配置網路時所需的基本技能和對網路技術進行故障排除的基本原理。藉由本課程您將學習LAN，WAN和無線網絡的不同網路協定和產品的功能，了解TCP / IP定址和協定的功能和特性，識別對網路安全的威脅以及適當的對策和控制，安裝和配置管理網路設備，監視和排除網路故障，增加對網路概念的了解和理解，並獲得所需的技能。 ,CompTIA Network＋國際網路認證班,20200712
2, 適合對象  資訊機房(Data Center)管理、維護者 資訊機房(Data Center)相關IT人員或是負責營運的人員 資訊部門主管或是相關人員 想取得CDCP國際認證者 學習如何建置符合企業需求資訊機房(Data Center)的人員   ,"Importance and Causes for Downtime Standards and Best Practices Data Centre Location, Building and Construction •   Selecting appropriate sites and buildings and how to avoid pitfalls •   Various components of an effective data center and supporting facilities setup Raised Floor/Suspended Ceiling •   Uniform, concentrated and rolling load definitions •   Applicable standards •   Raised floor guidelines •   Signal Reference Grid, grounding of racks •   Disability act and regulations •   Suspended ceiling usage and requirement Light •   Standards •   Light fixture types and placement •   Emergency lighting, Emergency Power Supply (EPS) Power Infrastructure •   Power infrastructure layout from generation to rack level •   ATS and STS systems •   Redundancy levels and techniques •   Three-phase and single-phase usage •   Power distribution options within the computer room •   Power cabling versus bus bar trunking •   Bonding versus grounding •   Common Mode Noise and isolation transformers •   Distribution boards, form factors and IP-protection grades •   Power quality guidelines •   Real power versus apparent power •   How to size and calculate load in the data center •   Generators •   Static and dynamic UPS systems, selection criteria, how they operate and energy efficiency option •   Battery types, correct selection and testing •   Thermo-graphics Electro Magnetic Fields •   Electrical fields and magnetic fields definitions and units of measurements •   Sources of EMF •   Effects of EMF on human health and equipment •   (H)EMP •   Standards •   EMF shielding solutions Equipment Racks •   Rack standards, properties and selection criteria •   Security considerations •   Power rail/strip options Cooling Infrastructure •   Temperature and humidity recommendations •   Cooling measurement units and conversion rates •   Sensible and latent heat definitions •   Differences between comfort and precision cooling •   Overview of different air conditioner technologies •   Raised floor versus non-raised floor cooling •   Placement of air conditioner units and limitations to be observed •   Supplemental cooling options •   Cold aisle/hot aisle containment Water Supply •   Importance of water supply and application areas •   Backup water supply techniques Designing a Scalable Network Infrastructure •   The importance of a Structured Cabling System •   Planning considerations •   Copper and Fiber cable technology and standards •   ANSI/TIA-942 Cabling hierarchy and recommendations •   Testing and verification •   SAN storage cabling •   Network redundancy •   Building-to-building connectivity •   Network monitoring system requirements Fire Protection •   Standards for fire suppression •   Detection systems •   Various total flooding fire suppression techniques and systems, their benefits and disadvantages •   Handheld extinguishers •   Signage and safety •   Regulatory requirements and best practices Physical Security and Safety •   Physical security considerations •   Physical safety considerations Auxiliary Systems •   Data center monitoring requirements •   EMS, BMS and DCIM •   Water leak detection systems •   Alarm notification Operational Considerations •   Service Level Management •   Organization •   Safety •   Security •   Facilities maintenance •   Monitoring •   Governance ","['2020/07/27 ~ 2020/07/28 每週一二', '2020/09/03 ~ 2020/09/04 每週四五', '2020/10/07 ~ 2020/10/08 每週三四']",時數：14小時,"費用：NT$ 60,000",現階段大多數企業都建置IT系統，依靠IT提供關鍵服務，因此資訊機房(Data Center)變成每個企業不可或缺的重要單位，更是企業競爭力的必備條件之一。雖然大部分企業都知道資訊機房(Data Center)的重要性，在建置時卻未必能符合需求，不論是可用性、安全性與效率常常無法因應各種需求，更可怕的是，資訊機房(Data Center)一旦出問題，可能影響整個企業的未來！除了資訊機房(Data Center)的設備無法符合需求以外，隨著相關技術的更新，更考驗著資訊機房(Data Center)的管理人員，而企業對於這些相關管理人員也無法提供更完善、更專業的教育訓練，大部分只能靠著傳承的經驗、上網查詢、見招拆招。 恆逸提供針對資訊機房(Data Center)相關管理人員的完整教育訓練，由國際權威性的資訊機房領域專業認證原廠：EPI (Enterprise Products Integration)提供的Data Center系列認證，從基礎技術到進階管理，包含完整的資訊機房人員認證架構。 EPI同時也是許多國際性的大型企業一致推崇的資料機房專家。在EPI提供的系列認證中，CDCP (Certified Data Centre Professional)是系列認證的基礎，而CDCP認證更是資訊機房(Data Center)管理中必備的專業認證。 恆逸取得EPI原廠授權教育訓練中心，開辦「CDCP資訊機房管理國際認證班」，課程將帶您理解資訊機房的關鍵組成要素，並教您該如何最佳設置及改善資訊機房，例如：電源、冷卻、電路安全等等，以確保您的資訊機房可以保持運作並符合企業需求，同時課程也會指導您管理資訊機房以及維護上的專業，讓您的資訊機房可以發揮更高的效用。 ,CDCP資訊機房管理國際認證班,20200712
3, 適合對象 有Dreamweaver與Bootstrap使用經驗，希望學會與PHP/MySQL整合使用者  ,1.Bootstrap頁面準備與相關擴充元件應用 1-1.建構Bootstrap頁面 1-2.Bootstrap頁面相關元件使用 1-2.Bootstrap表單元件 1-3.表單檢驗 2.PHP環境設定與MySQL資料庫使用 2-1 PHP環境的安裝與設定 2-2 使用phpMyAdmin建立MySQL資料庫 2-3 MySQL資料庫管理 2-4 在Dreamweaver中連結MySQL資料庫 3.最新消息 3-1 最新消息資料庫 3-2 加入最新消息 3-3 詳細消息內容 4.會員專區 4-1 會員專區資料庫 4-2 會員頁面與會員登入頁 4-3 加入會員 4-4 補寄會員登入帳號密碼 4-5 會員專區 4-6 會員資料修改 5.線上購物 5-1 購物商品頁面 5-2 商品詳細頁面 5-3 購物車頁面 5-4 訂購單頁面 5-5 查詢訂單頁面 6.管理者維護功能頁面 6-1 管理者登入 6-2 會員管理 6-3 最新消息管理 7.商品管理功能頁面 7-1. 商品分類管理 7-2. 商品上架管理頁面 7-3. 新增上架商品頁面 7-4. 客戶訂單管理頁面 8.PHP 網站上線 8-1 申請免費支援PHP 與MySQL 資料庫的網站空間 8-2 使用免費支援PHP 與MySQL 資料庫的網站空間 8-3 整理相關頁面並FTP上傳 ,"['2020/08/03 ~ 2020/08/06 每週一二三四', '2020/09/14 ~ 2020/10/07 每週一三', '2020/10/26 ~ 2020/10/29 每週一二三四']",時數：24小時,"費用：NT$ 12,000",Dreamweaver CC 2015之後的版本，已將Bootstrap整合為內建功能，因此包括製作Bootstrap相關功能元件也都可以輕鬆由內建介面操作，即可迅速加入各功能元件。 本課主要針對有經驗的網頁設計師所設計，講師不用生硬的程式語法為授課內容，而是教您學會使用現成元件與程式碼片段，學會套用、修改、整合，也可以完成有資料庫功能的互動式Bootstrap響應式網頁結構的購物網站。 這堂課就要教您如何善用現有的模組，以免費的PHP與MySQL為主要程式語法，整合Bootstrap響應式網頁結構，您也可以具備更進階的網頁設計實力。 ,Bootstrap網頁實作PHP Apache商業網站,20200712
4, 適合對象  電腦、資訊等相關科系畢業生，為獲取更多更深的企業資訊管理知識與取得專業國際認證者 沒有任何資訊技術背景或想轉職進入熱門資訊產業者 從基礎觀念開始導入，適合想打好進入資訊產業的強健體魄者 資訊產業新手，想厚植專業技能，加強自身就業競爭力及提升就業薪資   ,網路基礎  網路基礎架構與網路服務  Windows系統管理建置  Windows Server 2016的安裝、儲存及運算 Windows Server 2016的網路功能 Windows Server 2016的身分識別 MCSA(Microsoft Certified Solutions Associate)認證考試輔導  Linux系統管理建置  Red Hat Linux系統管理實務訓練課程Ⅰ Red Hat Linux系統管理實務訓練課程Ⅱ RHCSA(Red Hat Certified System Administrator)認證考試輔導  Cisco網路通訊管理  CCNA認證-建置與管理Cisco解決方案 CCNA(Cisco Certified Network Associate)認證考試輔導  雲端虛擬化  Microsoft Azure雲端技術入門 VMware虛擬化技術入門  就業前置作業輔導  產業現況分析 履歷撰寫及面試技巧 就業輔導與企業媒合  ,"['2020/07/31 ~ 2021/01/19 每週一二四五', '2020/11/09 ~ 2021/03/26 每週一二四五']",時數：560小時,"費用：NT$ 89,000",根據 104 人力銀行「2020 薪酬趨白皮書調查」指出，產業加薪幅度三強分別為： 軟體及網路相關業、金融業、半導體，其中「軟體及網路相關業」調薪幅度最高，平均調薪4.4%居產業之冠，連續三年蟬聯第一。 資訊產業人才需求量大，相較於其他產業，也有較大的調薪幅度以及發展空間，未來前景佳。但萬事起頭難，對於想跨入資訊產業的人而言，專業技術的「繁」與「多」是每一位新鮮人在選擇時最難了解的部份。如果在初次面對選擇時能透過專業、豐富的教學資源，有系統地建立正確的開始，便能有效減少走冤枉路的可能性，順利進入熱門資訊產業發展。 恆逸養成班以就業為導向，培養符合業界需求的資訊人才，學員結業後表現深獲企業肯定，是業界爭相合作的徵才管道。本課程由原廠認證專業講師群親自帶領，幫助您掌握進度並打穩基礎，一步步學習網路伺服器的架設維護、Windows和Linux系統管理建置、Cisco網路通訊管理，以及當紅的Microsoft Azure和Vmware雲端虛擬化管理技術等，並提供認證考試輔導，協助您順利考取國際熱門認證，找工作更有競爭力！結業即就業！ ,全方位網路系統工程師就業認證養成班,20200712
5, 適合對象  想要撰寫或設計網頁的設計師 想要了解用戶端開發技術的程式設計師 想要撰寫網站應用程式的程式設計師   , JavaScript簡介 JavaScript變數宣告方式、變數範圍、程式語法與基本型別 學習程式條件判斷與流程控制語法，了解各種運算子的使用特性，包括數學運算子、比較運算子等，以及JavaScript錯誤處理 撰寫Functions以重複使用程式碼，了解變數生命周期 建立與使用物件，學習陣列、Map、Set集合型別的使用，並了解JavaScript內建的物件，如String、Math等 物件導向基本觀念的建立，利用Prototype設計繼承與使用類別(Class) 使用JavaScript操作文件物件模型(DOM) 了解DOM事件註冊與處理，並了解如何應用Window、滑鼠、鍵盤、事件、表單等事件 了解JSON資料格式與透過AJAX與Promise設計非同步運作程式碼  ,"['2020/08/15 ~ 2020/08/23 每週六日', '2020/10/19 ~ 2020/11/11 每週一三', '2020/10/20 ~ 2020/10/23 每週二三四五']",時數：28小時,"費用：NT$ 22,000",由於網站應用程式的盛行，已經讓JavaScript變成世界最受歡迎的程式語言之一，也是最廣泛使用的用戶端開發語言。本課程適合欲學習純JavaScript程式語言的初學者，了解基本語法和程式架構，以及物件導向的功能，並能透過事件和瀏覽器上的DOM物件進行互動，上完課程後您將可撰寫在瀏覽器上執行的網頁程式。而ECMAScript 2015則是新一代的JavaScript語言標準，前身稱為ECMAScript 6，改善不嚴謹的JavaScript語法，並可運用來撰寫複雜的伺服端企業級應用程式，例如Node.JS。本課程將涵蓋ECMAScript 5與ECMAScript 2015+語法。 ,JavaScript程式設計,20200712
6, 適合對象  對IT產業有興趣、想從事伺服器管理相關工作者  想學習認識企業建構伺服器有哪些不同的異質平台(如：Windows、Linux、Mac等)可供選擇者   , 企業常見IT伺服器平台介紹 企業常見IT伺服器應用介紹 File伺服器介紹 Proxy/NAT/Firewall介紹 DNS伺服器介紹 Web伺服器介紹 Mail伺服器介紹 集中驗證伺服器介紹 授權伺服器軟體vs.免費伺服器軟體 Hands on Lab  ,['2020/10/30 ~ 2020/10/30 每週五'],時數：7小時,"費用：NT$ 6,000",IT的e化環境，與企業架設伺服器息息相關，這也是企業系統管理員主要的工作內容之一。所以就了解企業的服務需求，在不同的任務導向下，需要建構以下各種伺服器，如：網站伺服器、電子郵件伺服器、檔案伺服器等。而公司的IT政策、IT預算等因素會決定企業依需求建構不同平台的伺服器(如：Windows、Linux、Mac等)。至於商用、免費的伺服器解決方案，其擁護者不一而足，當然也各有其優缺點，但如何在建構前先做好評估作業與協助建議決策，避免屆時有「買問題進門」的困擾，這是最重要一環。但就系統管理人員，對伺服器的認識廣度與深度，和相關應用面認識也都息息相關。本課程除提供伺服器的相關概念介紹外，也針對部分伺服器建構流程進行依劇本不同的實作演練，期能讓您也能夠對架設伺服器不只有所認知，更能實作，讓概念認知與應用能在本課程結合。 ,企業IT服務伺服器架設與選擇方案導覽,20200712
7, 適合對象  想要深入了解及學習Power BI Desktop技術，以豐富資料分析報表者 數據及報表分析人員 想要學習數據分析及商業思考的使用者 熟悉SQL Server報表的建立者   , Power BI產品組合介紹 Power BI Desktop的下載與安裝 Power BI Desktop資料的匯入  A.  不同資料格式的匯入及合併 B.  彙整資料夾中多個相同格式的資料檔 C.  資料的清理、淨化、重塑及轉換 D.  資料表間的合併及附加處理 E.  查詢步驟的組態與調整 F.  查詢的複製、重複及參照 G.  資料錯誤的解決與處理  Power BI Desktop資料建模與管理  A.  組態及優化資料表間的關聯性 B.  強化資料模型中的計算邏輯與格式 C.  DAX語法說明及各類函數的使用 D.  利用DAX公式建立量值及資料行來豐富資料模型的處理 E.  Power BI Desktop範本檔的建立  Power BI Desktop互動式視覺化報表的建立  A.  建立豐富的互動式視覺化儀表板 B.  各項視覺化效果(表格、圖表、地圖......)的運用搭配介紹 C.  各項視覺化效果的細部組態 D.  視覺化效果的進階分析設定 E.  使用書籤串連數據解析及建立故事 F.  自訂視覺化效果的匯入及運用  發佈Power BI Desktop報表至Power BI服務  ,"['2020/08/03 ~ 2020/08/05 每週一二三', '2020/10/31 ~ 2020/11/07 每週六日', '2020/11/16 ~ 2020/11/18 每週一二三']",時數：21小時,"費用：NT$ 20,000",數據分析已成為目前企業決勝的關鍵，唯有對手上的資料數據了解的越多，我們也才能做的更多及更好。此時便需要一個簡單且有效的工具來協助我們了解手上的資料，可是，有這樣一個大數據分析工具存在嗎？這個問題的答案便是Power BI Desktop。 本課程將會介紹如何使用Power BI Desktop擷取各種資料來源中的數據進行清洗及重塑的工作，並將資料載入資料模型進行加值處理及計算，以提高資料儲存及檢索之效能，最後以視覺化的表格、圖表及地圖來反應資料內容與關聯性，使得企業主可快速得到心中疑問的解答，並從大數據中找到提升企業競爭力的商機。 ,Power BI Desktop數據分析實戰,20200712
8, 適合對象 已有C++程式設計基礎、Python程式設計基礎者  ,1.編譯安裝OpenCV 2.Python與OpenCV的連結 3.圖片處理與標記 4.影像的輸出輸入 5.二元影像處理 +5-1 影像與黑白灰階的處理 +5-2影像門檻值選取與轉換 +5-3 影像與輪廓選取 +5-4 影像的擴張與侵蝕運算 6.影像強化與濾鏡 +6-1 顏色值域的轉變 +6-2 亮度與色度的調整 +6-3 濾鏡與convolution運算 7.幾何轉換 8.影像分類與偵測 9.OpenVino框架 +9-1推論引擎 +9-2最佳化模型器 10.OpenCV與OpenVino 11.OpenCV與Yolo框架(V4) 12.OpenCV在Raspberry Pi和Jetson Nano上的處理 ,['2020/11/23 ~ 2020/11/27 每週一二三四五'],時數：35小時,"費用：NT$ 24,000","OpenCV是一個行之有年的影像處理函式庫，除了用在傳統的影像應用程式之外，更被用於各式的深度學習，特別是跟影像相關的議題上。本課程將使用OpenCV處理圖片影像，建立電腦視覺的基礎。在本課程中，當我們學習了openCV的基礎之後，會用在Intel的OpenVino toolkit， 它可以使用CPU作加速，以助於電腦視覺與神經網路的推論，達成一般電腦視覺應用如圖像標記等等任務。由於OpenVino內建許多有用的模型，可以在沒有深度學習建模能力前，依然可以和OpenCV合併使用並且看到結果。 本課程會以Python操作OpenCV方便使用為主, 但會使用Visual Studio 2019講授如何建置OpenCV並且作最佳化與調校參數, 所以需要有簡單的C/C++程式概念但不需要精通。 本課程所講授的YoLo演算法以YoLoV4的建置與使用為主。 ",AI電腦視覺OpenCV ,20200712
9, 適合對象  想要學習資安實用操作技巧的IT人員 對系統的資安有興趣管理，希望能加強實作技巧的IT人員   , 評估系統的資訊安全 評估流程與相關工具 列舉與入侵系統的參考步驟 駭客的矛盾對決 探索與測試 常見服務檢測：電子郵件伺服器 常見服務檢測：網站伺服器 常見服務檢測：搭配伺服器加密需求TLS 跡證保存與警報系統 備份與復原 標準化建立系統與弱掃零檢出 相關實作演練  ,"['2020/07/25 ~ 2020/08/09 每週六日', '2020/10/12 ~ 2020/10/16 每週一二三四五']",時數：35小時,"費用：NT$ 28,000",建立一套標準化的流程，將資訊安全的理論應用於各種日常維運的系統環境中，並順利通過資安弱點掃描評估。這個課程整合資訊安全的理論與實務的技術操作，從系統環境的安裝建置開始、減少攻擊面、套用標準化的安全政策、更新策略…，所對應的流程與工具介紹。內容包含大量的實務操作，透過實際演練的過程，讓您能在課程中體現資訊安全的諸多面向。最後，藉由跡證保存與警報系統、備份與還原等單元介紹，讓防禦工事的建構更加完整且更有效率。 ,資訊安全分析實務-方法、流程與工具,20200712
